问题,答案
modelOne 是什么？,modelOne 是企业级 AI 开发与模型生产平台，覆盖数据管理、在线开发、Pipeline 编排、模型训练、模型管理、推理服务和智能应用。
如何获取部署文档？,请查看交付包中的安装部署手册和管理员手册，或使用平台配置的帮助中心入口。具体域名和支持方式由企业管理员提供。
如何登录平台？,使用管理员分配的账号或企业配置的统一认证入口登录。首次部署后应完成初始密码修改，账号恢复请联系管理员。
支持哪些认证方式？,部署可配置本地账号或企业认证；LDAP、OIDC 和统一认证需要管理员完成连接、权限映射和登录回调验证。
支持哪些 Kubernetes 版本？,请以当前版本交付包的验证矩阵为准。Kubernetes、GPU 驱动、设备插件和任务控制器的版本需要配套验证。
Docker 部署是否支持运行训练任务？,Docker Compose 可以承载平台服务，Notebook、Pipeline、训练和推理任务仍需要接入可用的 Kubernetes 集群。
如何配置镜像仓库？,管理员通过 MODELONE_IMAGE_REGISTRY 配置企业镜像仓库，镜像使用 modelone 命名空间。运行前须完成镜像同步并在任务命名空间配置拉取凭据。
镜像拉取失败如何排查？,检查镜像名称和标签是否存在、节点是否能访问仓库、证书是否可信，以及对应命名空间的镜像拉取凭据是否有效。
如何创建 Notebook？,在在线开发中创建开发环境，选择已同步的 Notebook 镜像、所属项目和计算资源，然后启动环境。
Notebook 无法打开如何排查？,检查对应 Pod 的状态和事件、镜像拉取结果、资源配额、存储挂载和入口路由。确认访问域名与平台配置一致。
如何更换 Notebook 镜像？,将依赖固化到企业镜像并推送至配置的仓库，更新 Notebook 镜像后按平台操作重建环境。重建前保存代码和数据。
如何编排 Pipeline？,在任务模板中注册镜像和参数，再在 Pipeline 编排器中添加任务、配置依赖与资源，保存后运行并查看日志。
如何添加任务模板？,准备任务镜像、启动命令、参数定义和资源需求，在训练模块的任务模板中注册，并用小规模数据验证输入输出。
GPU 任务一直等待如何排查？,检查 GPU 驱动和设备插件、节点可分配 GPU 数量、节点标签、项目配额以及任务资源申请，结合 Pod 事件定位原因。
如何查看训练日志？,从任务运行记录打开日志页面；训练指标可写入共享存储，并在具备 TensorBoard 的开发环境中查看。
如何上线推理服务？,准备模型文件、推理镜像和启动参数，在推理服务中配置端口和资源，部署后检查健康状态并通过平台提供的访问入口验证。
推理服务无法访问如何排查？,依次检查 Pod 状态、应用监听地址和端口、Service 与路由配置、域名解析及网络策略。业务监听端口与外部访问端口可能不同。
AIHub 应用无法加载资源怎么办？,检查资源是否已迁移到企业对象存储或交付目录，确认配置的地址可访问，并检查资源文件完整性和访问权限。
如何使用智能问答知识库？,将知识文件放到配置的可访问位置，完成向量服务和模型接口配置后建立索引。更新知识文件后需要同步更新索引。
如何配置数据 ETL？,使用独立编排器配置算子及上下游依赖，实际执行需按企业部署方案接入相应的数据源和执行服务。
如何备份平台？,备份元数据库、部署配置、凭据和持久化业务目录。升级前在隔离环境验证恢复；备份内容应按企业要求限制访问。
升级后提示数据库表缺失怎么办？,先核对数据库连接和迁移版本，在备份后按升级手册执行迁移。不要删除已有数据库或持久化目录。
是否支持离线部署？,离线部署需要预先准备匹配版本和架构的全部镜像、软件包、模型与示例资源，并在隔离环境中完成安装和业务验证。
支持 ARM64 吗？,需要逐个验证平台及任务镜像是否包含 ARM64 架构，以及依赖的驱动和算子是否兼容；请以本次交付的架构验证结果为准。
如何反馈问题？,通过企业配置的技术支持入口或联系平台管理员，提供操作时间、任务标识和脱敏日志。
如何配置版权和帮助地址？,管理员在统一品牌配置中填写企业名称、版权年份、帮助中心、技术支持、用户协议和隐私政策地址，然后生成部署配置。
